Exercise_Name,URL,Thumbnail_URL
Bodyweight Hip Thrust,https://www.youtube.com/watch?v=7XuNzi5rcj4,https://i.ytimg.com/vi/7XuNzi5rcj4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDeoogb34xiolG6U89nPCvR5UuJiw
Barbell Hip Thrust,https://www.youtube.com/watch?v=aweBS7K71l8,https://i.ytimg.com/vi/aweBS7K71l8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAY5SxT5j57Aq6C7bxojsuCklijPA
n Overhead Kettlebell Swing (American Kettlebell Swing),https://www.youtube.com/watch?v=dUlk6ZmFtAU,https://i.ytimg.com/vi/dUlk6ZmFtAU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDKQkgq8FrmejJNjl4Wn0Aj7ydH4w
One Arm Kettlebell Swing,https://www.youtube.com/watch?v=sxtfgmzhXvE,https://i.ytimg.com/vi/sxtfgmzhXvE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAeNo_4DpJH1nOJk4Oo2XmokveE9g
Kettlebell Swing (Two Handed),https://www.youtube.com/watch?v=1FjAoO5McVI,https://i.ytimg.com/vi/1FjAoO5McVI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDCZpSGytR5Yf8J2ILEphwVV9WzOg
Glute Bridge With A Dumbbell,https://www.youtube.com/watch?v=cruqsnAyU6A,https://i.ytimg.com/vi/cruqsnAyU6A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLATLhrNaClJ7p-xoefVq60t3N2bew
Tricep Kickback,https://www.youtube.com/watch?v=JPmbMOu4IYw,https://i.ytimg.com/vi/JPmbMOu4IYw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAAgt0tIdkSZsHfTAi8e2REJFay2g
Tricep Pushdown,https://www.youtube.com/watch?v=LXkCrxn3caQ,https://i.ytimg.com/vi/LXkCrxn3caQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAhuxTsa-EPP5GLxFIt5dWV2AnwDQ
Bodyweight Tricep Dip,https://www.youtube.com/watch?v=qrS6aa0aQ9I,https://i.ytimg.com/vi/qrS6aa0aQ9I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCRjJRwy9CSE1CuTmauIa6lY5I8Pg
Decline Push Up,https://www.youtube.com/watch?v=QBlYp-EwHlo,https://i.ytimg.com/vi/QBlYp-EwHlo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDcfHb6LOmgLFmPG_xHBJKK2nM7-Q
Medicine Ball Push up,https://www.youtube.com/watch?v=-cqo-oailwk,https://i.ytimg.com/vi/-cqo-oailwk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDB-algw-uKaKaJBAAlIosJVLzXoA
